OPEID,INSTNM,CITY,STATE,TOTAL FWS SUPPLEMENTAL INCREASE
1146200,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,"6,127.00"
106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,"7,131.00"
100200,"ALABAMA AGRICULTURAL &MECHANICAL UNIVERSITY",NORMAL,AL,"16,840.00"
100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,"11,983.00"
2503400,AMRIDGE UNIVERSITY,MONTGOMERY,AL,"1,667.00"
100900,AUBURN UNIVERSITY,AUBURN,AL,"36,622.00"
831000,AUBURN UNIVERSITY MONTGOMERY,MONTGOMERY,AL,"7,624.00"
101200,BIRMINGHAM-SOUTHERN COLLEGE,BIRMINGHAM,AL,"4,625.00"
106000,"COASTAL ALABAMA COMMUNITYCOLLEGE",BAY MINETTE,AL,"4,286.00"
1055400,CONCORDIA COLLEGE ALABAMA,SELMA,AL,"1,040.00"
100300,FAULKNER UNIVERSITY,MONTGOMERY,AL,"14,935.00"
101800,"GEORGE C. WALLACE COMMUNITYCOLLEGE",DOTHAN,AL,"4,454.00"
101900,HUNTINGDON COLLEGE,MONTGOMERY,AL,"2,106.00"
102000,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,"11,256.00"
898800,"LURLEEN B. WALLACE COMMUNITYCOLLEGE",ANDALUSIA,AL,844
102600,MARION MILITARY INSTITUTE,MARION,AL,511
102800,MILES COLLEGE,FAIRFIELD,AL,"4,349.00"
103300,OAKWOOD UNIVERSITY,HUNTSVILLE,AL,"3,095.00"
103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,"28,866.00"
104100,SPRING HILL COLLEGE,MOBILE,AL,"6,361.00"
104400,STILLMAN COLLEGE,TUSCALOOSA,AL,"1,599.00"
104600,TALLADEGA COLLEGE,TALLADEGA,AL,"1,952.00"
104700,TROY UNIVERSITY,TROY,AL,"36,934.00"
105000,TUSKEGEE UNIVERSITY,"TUSKEGEEINSTITUTE",AL,"10,203.00"
105100,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,"47,409.00"
105200,"UNIVERSITY OF ALABAMA ATBIRMINGHAM",BIRMINGHAM,AL,"49,254.00"
105500,"UNIVERSITY OF ALABAMA INHUNTSVILLE",HUNTSVILLE,AL,"8,086.00"
102900,UNIVERSITY OF MOBILE,MOBILE,AL,"3,754.00"
100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,"4,266.00"
101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,"7,621.00"
102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,"11,131.00"
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,"1,966.00"
109000,ARKANSAS STATE UNIVERSITY,JONESBORO,AR,"19,561.00"
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,"12,730.00"
109700,HARDING UNIVERSITY,SEARCY,AR,"10,813.00"
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,"5,408.00"
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,"6,108.00"
108800,LYON COLLEGE,BATESVILLE,AR,"1,883.00"
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,"2,912.00"
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,"1,565.00"
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,"5,253.00"
110800,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,"25,380.00"
110100,"UNIVERSITY OF ARKANSAS AT LITTLEROCK",LITTLE ROCK,AR,"17,864.00"
108500,"UNIVERSITY OF ARKANSAS ATMONTICELLO",MONTICELLO,AR,"5,085.00"
108600,"UNIVERSITY OF ARKANSAS AT PINEBLUFF",PINE BLUFF,AR,"4,993.00"
110900,"UNIVERSITY OF ARKANSAS FORMEDICAL SCIENCES",LITTLE ROCK,AR,"16,927.00"
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,"13,948.00"
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,"1,882.00"
108100,ARIZONA STATE UNIVERSITY,TEMPE,AZ,"195,060.00"
107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,"239,015.00"
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,"38,133.00"
2217100,PIMA MEDICAL INSTITUTE,TUCSON,AZ,"15,798.00"
2177500,RIO SALADO COMMUNITY COLLEGE,TEMPE,AZ,"3,590.00"
108300,UNIVERSITY OF ARIZONA (THE),TUCSON,AZ,"93,709.00"
753100,ACADEMY OF ART UNIVERSITY,SAN FRANCISCO,CA,"35,099.00"
111600,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,"10,054.00"
111700,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,"53,182.00"
716400,BRYAN UNIVERSITY,TEMPE,CA,"4,638.00"
112500,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,"36,537.00"
113100,"CALIFORNIA INSTITUTE OFTECHNOLOGY",PASADENA,CA,"3,644.00"
113200,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,"11,139.00"
115300,"CALIFORNIA STATE UNIVERSITY,NORTHRIDGE",NORTHRIDGE,CA,"63,923.00"
116400,CHAPMAN UNIVERSITY,ORANGE,CA,"52,093.00"
2155300,"CHICAGO SCHOOL OF PROFESSIONALPSYCHOLOGY",LOS ANGELES,CA,"44,015.00"
2070500,CONCORDIA UNIVERSITY,IRVINE,CA,"14,173.00"
1111200,"FASHION INSTITUTE OF DESIGN &MERCHANDISING -",LOS ANGELES,CA,"7,382.00"
120000,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,"8,035.00"
121800,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,"51,266.00"
4037300,LOS ANGELES FILM SCHOOL (THE),HOLLYWOOD,CA,"7,028.00"
122600,LOS ANGELES PIERCE COLLEGE,WOODLAND HILLS,CA,"16,150.00"
1164900,LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,"52,439.00"
1146000,NATIONAL UNIVERSITY - LA JOLLA,LA JOLLA,CA,"57,479.00"
4118800,NEW YORK FILM ACADEMY,BURBANK,CA,"2,782.00"
124900,OCCIDENTAL COLLEGE,LOS ANGELES,CA,"8,611.00"
1014900,PEPPERDINE UNIVERSITY,MALIBU,CA,"60,944.00"
117300,POMONA COLLEGE,CLAREMONT,CA,"5,408.00"
115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,"44,110.00"
115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,"45,733.00"
128600,SANTA MONICA COLLEGE,SANTA MONICA,CA,"19,781.00"
2120600,SAYBROOK UNIVERSITY,OAKLAND,CA,"4,941.00"
3752400,SCHOOL OF URBAN MISSIONS,EL DORADO HILLS,CA,815
130500,STANFORD UNIVERSITY,STANFORD,CA,"55,626.00"
1085400,"THOMAS JEFFERSON SCHOOL OFLAW",SAN DIEGO,CA,"14,600.00"
4142500,TOURO UNIVERSITY WORLDWIDE,"WESTHOLLYWOOD",CA,"3,688.00"
131200,"UNIVERSITY OF CALIFORNIA,BERKELEY",BERKELEY,CA,"82,621.00"
131300,"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,"82,525.00"
131500,"UNIVERSITY OF CALIFORNIA, LOSANGELES",LOS ANGELES,CA,"78,826.00"
131700,"UNIVERSITY OF CALIFORNIA, SANDIEGO",LA JOLLA,CA,"54,367.00"
132000,"UNIVERSITY OF CALIFORNIA, SANTABARBARA",SANTA BARBARA,CA,"16,351.00"
1039500,UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,"43,263.00"
132800,"UNIVERSITY OF SOUTHERNCALIFORNIA",LOS ANGELES,CA,"248,860.00"
3171300,"UNIVERSITY OF ST. AUGUSTINE FORHEALTH SCIENCES",SAN MARCOS,CA,"29,305.00"
2482700,"WESTERN UNIVERSITY OF HEALTHSCIENCES",POMONA,CA,"76,954.00"
134500,ADAMS STATE UNIVERSITY,ALAMOSA,CO,"6,348.00"
3776300,"AUGUSTE ESCOFFIER SCHOOL OFCULINARY ARTS",BOULDER,CO,"1,171.00"
940100,COLORADO CHRISTIAN UNIVERSITY,LAKEWOOD,CO,"14,225.00"
134700,COLORADO COLLEGE,"COLORADOSPRINGS",CO,"5,392.00"
135800,COLORADO MESA UNIVERSITY,GRAND JUNCTION,CO,"9,078.00"
134800,COLORADO SCHOOL OF MINES,GOLDEN,CO,"12,532.00"
135000,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,"36,766.00"
136500,"COLORADO STATE UNIVERSITY-PUEBLO",PUEBLO,CO,"8,534.00"
1014800,COLORADO TECHNICAL UNIVERSITY,"COLORADOSPRINGS",CO,"94,965.00"
954200,COMMUNITY COLLEGE OF DENVER,DENVER,CO,"8,453.00"
2117500,NAROPA UNIVERSITY,BOULDER,CO,"6,007.00"
889600,PIKES PEAK COMMUNITY COLLEGE,"COLORADOSPRINGS",CO,"14,831.00"
136300,REGIS UNIVERSITY,DENVER,CO,"27,349.00"
764900,"ROCKY MOUNTAIN COLLEGE OF ART+ DESIGN",LAKEWOOD,CO,"1,417.00"
137000,UNIVERSITY OF COLORADO BOULDER,BOULDER,CO,"51,556.00"
450900,"UNIVERSITY OF COLORADOCOLORADO SPRINGS","COLORADOSPRINGS",CO,"20,403.00"
450800,UNIVERSITY OF COLORADO DENVER,DENVER,CO,"57,686.00"
137100,UNIVERSITY OF DENVER,DENVER,CO,"74,099.00"
134900,"UNIVERSITY OF NORTHERNCOLORADO",GREELEY,CO,"16,578.00"
140100,POST UNIVERSITY,WATERBURY,CT,"20,926.00"
140200,QUINNIPIAC UNIVERSITY,HAMDEN,CT,"57,496.00"
140300,SACRED HEART UNIVERSITY,FAIRFIELD,CT,"36,219.00"
141600,UNIVERSITY OF BRIDGEPORT,BRIDGEPORT,CT,"17,553.00"
141700,UNIVERSITY OF CONNECTICUT,STORRS,CT,"51,243.00"
139700,UNIVERSITY OF NEW HAVEN,WEST HAVEN,CT,"26,221.00"
142400,WESLEYAN UNIVERSITY,MIDDLETOWN,CT,"9,095.00"
142600,YALE UNIVERSITY,NEW HAVEN,CT,"62,076.00"
143400,AMERICAN UNIVERSITY,WASHINGTON,DC,"81,115.00"
143700,CATHOLIC UNIVERSITY OF AMERICA,WASHINGTON,DC,"30,462.00"
144300,GALLAUDET UNIVERSITY,WASHINGTON,DC,"5,907.00"
144400,GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,"137,331.00"
144500,GEORGETOWN UNIVERSITY,WASHINGTON,DC,"109,174.00"
144800,HOWARD UNIVERSITY,WASHINGTON,DC,"56,776.00"
143100,UNIVERSITY OF DELAWARE,NEWARK,DE,"55,079.00"
794800,WILMINGTON UNIVERSITY,NEW CASTLE,DE,"21,975.00"
3491400,"American Advanced TechniciansInstitute",Hialeah,FL,206
3706300,American Institute,Margate,FL,452
1019500,Art Institute of Fort Lauderdale (The),Fort Lauderdale,FL,"2,994.00"
3691400,Ave Maria School of Law,Naples,FL,"5,382.00"
3941300,Ave Maria University,Ave Maria,FL,"1,131.00"
2159600,Baptist College of Florida (The),GRACEVILLE,FL,638
146600,Barry University,Miami Shores,FL,"45,074.00"
3373300,Beacon College,Leesburg,FL,743
146700,BETHUNE COOKMAN UNIVERSITY,Daytona Beach,FL,"8,821.00"
2601600,Brewster Technical College,Tampa,FL,280
150000,BROWARD COLLEGE,Fort Lauderdale,FL,"52,993.00"
4083400,"Cambridge College of Healthcare &Technology",Delray Beach,FL,999
3842500,"Cambridge Institute of Allied Healthand Technology",Altamonte Springs,FL,313
147200,Chipola College,MARIANNA,FL,352
2515400,City College,Fort Lauderdale,FL,"4,027.00"
3079900,City College,Altamonte Springs,FL,"1,021.00"
3071600,College of Business & Technology,Miami,FL,"1,567.00"
147100,College of Central Florida,Ocala,FL,"7,902.00"
2279600,Cortiva Institute - Florida,Pinellas Park,FL,533
147500,DAYTONA STATE COLLEGE,Daytona Beach,FL,"15,936.00"
4127400,Digital Media Arts College,Boca Raton,FL,"1,111.00"
147000,Eastern Florida State College,Cocoa,FL,"12,679.00"
148700,Eckerd College,Saint Petersburg,FL,"6,721.00"
147800,Edward Waters College,Jacksonville,FL,"2,065.00"
559400,Erwin Technical College,Tampa,FL,"1,300.00"
3108500,Everglades University,Boca Raton,FL,"3,744.00"
789300,FLAGLER COLLEGE,Saint Augustine,FL,"3,357.00"
148000,"FLORIDA AGRICULTURAL &MECHANICAL UNIVERSITY",TALLAHASSEE,FL,"12,714.00"
148100,Florida Atlantic University,Boca Raton,FL,"35,135.00"
2305800,Florida Career College,Miami,FL,"11,410.00"
3374300,Florida Coastal School of Law,Jacksonville,FL,"19,660.00"
148200,Florida College,Temple Terrace,FL,502
3008600,Florida College of Natural Health,Pompano Beach,FL,868
150100,Florida Gateway College,Lake City,FL,"2,052.00"
3255300,Florida Gulf Coast University,Fort Myers,FL,"11,270.00"
146900,Florida Institute of Technology,Melbourne,FL,"25,496.00"
963500,"FLORIDA INTERNATIONALUNIVERSITY",Miami,FL,"94,275.00"
148500,Florida Keys Community College,Key West,FL,739
148600,Florida Memorial University,Miami Gardens,FL,"3,413.00"
2547600,Florida National University,Hialeah,FL,"5,610.00"
148800,Florida Southern College,Lakeland,FL,"7,594.00"
147700,Florida SouthWestern State College,Fort Myers,FL,"12,587.00"
148400,Florida State College at Jacksonville,Jacksonville,FL,"11,762.00"
148900,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,"38,845.00"
2218700,Florida Technical College,Orlando,FL,"10,165.00"
3434300,Fortis College,Orange Park,FL,982
2362100,Full Sail University,Winter Park,FL,"65,709.00"
149000,GULF COAST STATE COLLEGE,PANAMA CITY,FL,"2,114.00"
787000,Hillsborough Community College,Tampa,FL,"25,163.00"
2188900,Hobe Sound Bible College,Hobe Sound,FL,303
3037500,Hodges University,Naples,FL,"5,162.00"
4162500,"Hollywood Institute of BeautyCareers",Hollywood,FL,"1,427.00"
149300,Indian River State College,Fort Pierce,FL,"14,496.00"
149500,Jacksonville University,Jacksonville,FL,"10,292.00"
2151900,Keiser University,Fort Lauderdale,FL,"41,067.00"
150200,Lake Sumter State College,Leesburg,FL,"3,279.00"
150500,Lynn University,Boca Raton,FL,"9,588.00"
561200,Manatee Technical College,Bradenton,FL,"1,210.00"
150600,Miami Dade College,Miami,FL,"92,696.00"
887800,"Miami International University of Art& Design",Miami,FL,"5,355.00"
3224300,New Professions Technical Institute,Miami,FL,605
150800,"NORTH FLORIDA COMMUNITYCOLLEGE",MADISON,FL,521
3089200,Nouvelle Institute,Miami,FL,"1,015.00"
150900,Nova Southeastern University-Davie,Fort Lauderdale,FL,"175,009.00"
884900,Palm Beach Atlantic University,West Palm Beach,FL,"13,082.00"
151200,Palm Beach State College,Lake Worth,FL,"24,078.00"
1065200,Pasco - Hernando State College,New Port Richey,FL,"9,485.00"
151300,PENSACOLA STATE COLLEGE,PENSACOLA,FL,"8,485.00"
151400,Polk State College,Winter Haven,FL,"9,744.00"
1257400,Ringling College of Art & Design,Sarasota,FL,"4,590.00"
151500,Rollins College,Winter Park,FL,"11,835.00"
152300,Saint Johns River State College,Palatka,FL,"4,957.00"
152600,Saint Leo University,Saint Leo,FL,"41,232.00"
146800,Saint Thomas University,Miami Gardens,FL,"18,503.00"
151900,SANTA FE COLLEGE,Gainesville,FL,"12,417.00"
2314100,Schiller International University,Largo,FL,708
152000,Seminole State College of Florida,Sanford,FL,"18,087.00"
3661400,South Florida Institute of Technology,Miami,FL,"2,179.00"
152200,South Florida State College,Avon Park,FL,"2,225.00"
3123900,Southeastern College,West Palm Beach,FL,"1,695.00"
152100,Southeastern University,Lakeland,FL,"6,142.00"
152800,ST. PETERSBURG COLLEGE,Clearwater,FL,"38,501.00"
150400,"State College of Florida, Manatee-Sarasota",Bradenton,FL,"8,617.00"
153100,STETSON UNIVERSITY,DeLand,FL,"26,083.00"
2524000,Sunstate Academy,Clearwater,FL,864
153300,TALLAHASSEE COMMUNITY COLLEGE,TALLAHASSEE,FL,"6,223.00"
3101900,Trinity Baptist College,Jacksonville,FL,539
3028200,Trinity College of Florida,Trinity,FL,443
3549300,ULTIMATE MEDICAL ACADEMY,Clearwater,FL,"38,472.00"
3856300,Universal Career School,Sweetwater,FL,320
395400,"UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS",Orlando,FL,"102,404.00"
153500,UNIVERSITY OF FLORIDA,Gainesville,FL,"103,937.00"
153600,University of Miami,Coral Gables,FL,"86,854.00"
984100,UNIVERSITY OF NORTH FLORIDA,Jacksonville,FL,"17,879.00"
153800,University of Tampa (The),Tampa,FL,"19,803.00"
395500,UNIVERSITY OF WEST FLORIDA (THE),PENSACOLA,FL,"8,219.00"
675000,Valencia College,Orlando,FL,"39,944.00"
884800,Warner University,Lake Wales,FL,"3,351.00"
154000,Webber International University,Babson Park,FL,"3,639.00"
2346200,WyoTech,Ormond Beach,FL,503
154100,"ABRAHAM BALDWIN AGRICULTURALCOLLEGE",TIFTON,GA,"3,105.00"
154200,AGNES SCOTT COLLEGE,DECATUR,GA,"3,665.00"
154400,ALBANY STATE UNIVERSITY,ALBANY,GA,"6,095.00"
154500,ANDREW COLLEGE,CUTHBERT,GA,505
154600,Armstrong State University,Savannah,GA,"9,571.00"
927000,ART INSTITUTE OF ATLANTA (THE),ATLANTA,GA,"13,146.00"
157900,AUGUSTA UNIVERSITY,AUGUSTA,GA,"15,045.00"
1107400,BAINBRIDGE STATE COLLEGE,BAINBRIDGE,GA,"3,058.00"
155400,BERRY COLLEGE,MOUNT BERRY,GA,"8,630.00"
155600,BRENAU UNIVERSITY,GAINESVILLE,GA,"12,419.00"
155700,BREWTON PARKER COLLEGE,MOUNT VERNON,GA,804
576300,"CENTRAL GEORGIA TECHNICALCOLLEGE",WARNER ROBINS,GA,"4,817.00"
155900,CLARK ATLANTA UNIVERSITY,ATLANTA,GA,"14,443.00"
897600,CLAYTON STATE UNIVERSITY,MORROW,GA,"11,069.00"
551100,COASTAL PINES TECHNICAL COLLEGE,WAYCROSS,GA,"2,541.00"
155800,College of Coastal Georgia,Brunswick,GA,"3,336.00"
156100,COLUMBUS STATE UNIVERSITY,COLUMBUS,GA,"11,628.00"
348400,COVENANT COLLEGE,"LOOKOUTMOUNTAIN",GA,"2,138.00"
1099700,EAST GEORGIA STATE COLLEGE,SWAINSBORO,GA,"3,740.00"
156300,EMMANUEL COLLEGE,"FRANKLINSPRINGS",GA,"1,142.00"
156400,EMORY UNIVERSITY,ATLANTA,GA,"82,411.00"
156600,FORT VALLEY STATE UNIVERSITY,FORT VALLEY,GA,"5,727.00"
160200,"GEORGIA COLLEGE & STATEUNIVERSITY",MILLEDGEVILLE,GA,"5,389.00"
4142900,GEORGIA GWINNETT COLLEGE,LAWRENCEVILLE,GA,"14,862.00"
156900,"GEORGIA INSTITUTE OFTECHNOLOGY",ATLANTA,GA,"32,430.00"
157100,GEORGIA MILITARY COLLEGE,MILLEDGEVILLE,GA,"12,386.00"
157200,GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GA,"23,044.00"
157400,GEORGIA STATE UNIVERSITY,ATLANTA,GA,"72,619.00"
156800,"INTERDENOMINATIONALTHEOLOGICAL CENTER",ATLANTA,GA,"1,936.00"
157700,KENNESAW STATE UNIVERSITY,KENNESAW,GA,"38,911.00"
157800,LAGRANGE COLLEGE,LAGRANGE,GA,"4,720.00"
2074800,LIFE UNIVERSITY,MARIETTA,GA,"28,815.00"
3100900,LUTHER RICE COLLEGE & SEMINARY,LITHONIA,GA,"1,610.00"
158000,MERCER UNIVERSITY,MACON,GA,"56,563.00"
158100,MIDDLE GEORGIA STATE UNIVERSITY,MACON,GA,"8,884.00"
158200,MOREHOUSE COLLEGE,ATLANTA,GA,"7,492.00"
3030000,OGEECHEE TECHNICAL COLLEGE,STATESBORO,GA,"2,562.00"
158600,OGLETHORPE UNIVERSITY,ATLANTA,GA,"4,564.00"
158700,PAINE COLLEGE,AUGUSTA,GA,"1,188.00"
158800,PIEDMONT COLLEGE,DEMOREST,GA,"6,140.00"
154700,POINT UNIVERSITY,WEST POINT,GA,"3,110.00"
158900,REINHARDT UNIVERSITY,WALESKA,GA,"2,509.00"
2141500,Savannah College of Art and Design,Savannah,GA,"34,506.00"
159000,Savannah State University,Savannah,GA,"7,890.00"
561800,Savannah Technical College,Savannah,GA,"5,257.00"
159100,SHORTER UNIVERSITY,ROME,GA,"4,583.00"
159200,SOUTH GEORGIA STATE COLLEGE,DOUGLAS,GA,"2,897.00"
1303900,South University,Savannah,GA,"86,415.00"
159400,SPELMAN COLLEGE,ATLANTA,GA,"7,473.00"
155500,THOMAS UNIVERSITY,THOMASVILLE,GA,"3,530.00"
159600,TOCCOA FALLS COLLEGE,TOCCOA FALLS,GA,"1,991.00"
159700,TRUETT MCCONNELL UNIVERSITY,CLEVELAND,GA,562
159800,UNIVERSITY OF GEORGIA,ATHENS,GA,"41,767.00"
158500,UNIVERSITY OF NORTH GEORGIA,DAHLONEGA,GA,"15,156.00"
160100,UNIVERSITY OF WEST GEORGIA,CARROLLTON,GA,"19,152.00"
159900,VALDOSTA STATE UNIVERSITY,VALDOSTA,GA,"18,094.00"
160000,WESLEYAN COLLEGE,MACON,GA,"1,219.00"
160400,YOUNG HARRIS COLLEGE,YOUNG HARRIS,GA,"3,812.00"
727900,HAWAII PACIFIC UNIVERSITY,HONOLULU,HI,"6,935.00"
161000,UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HI,"31,563.00"
